sat,demand,gap,dead_health,moat,momentum,forced_buyer,viability,is_migrator,dead_pct,niche_n,niche_tp,niche_vel,display_name,author,tier,total_purchases,last_month,price_cents,rating,reviews
85,90,30,50,30,90,10,63,False,0.0,2,6880,88,Emipro Connector Engine,Emipro Technologies Pvt. Ltd.,WINNER,4841,80,2340,0.0,0
20,90,30,45,80,23,10,44,False,58.7,649,9805,76,Dashboard Ninja with AI,Ksolves India Ltd.,WINNER,3018,26,54611,5.0,188
85,90,30,50,30,90,10,63,False,0.0,1,2309,36,Droggol Theme Common,Droggol Infotech Private Limited,WINNER,2309,36,995,0.0,0
20,90,30,45,40,77,10,50,False,68.3,82,3134,73,Shopify Odoo Connector,Emipro Technologies Pvt. Ltd.,WINNER,2253,42,58383,5.0,259
85,90,30,50,30,90,10,63,False,0.0,2,6880,88,Emipro Theme Base,Emipro Technologies Pvt. Ltd.,WINNER,2039,8,4980,0.0,0
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,Odoo WooCommerce Connector,Emipro Technologies Pvt. Ltd.,WINNER,1751,14,58383,5.0,119
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,Odoo Direct Print PRO,VentorTech,WINNER,1729,35,23283,5.0,69
20,90,30,45,80,24,10,44,False,58.5,578,6701,112,Advanced Dashboard Ninja with AI,Ksolves India Ltd.,WINNER,1427,10,72044,5.0,52
20,90,30,45,80,24,10,44,False,58.5,578,6701,112,Advanced Web Domain Widget,Terabits Technolab,WINNER,1070,26,498,0.0,0
50,90,50,65,30,75,10,59,False,47.1,17,1221,35,Simplify Access Management,Terabits Technolab,WINNER,953,25,44611,5.0,13
20,90,50,45,80,15,10,45,False,62.4,6551,41572,326,Product QR Code Generator,Softhealer Technologies,WINNER,904,8,1170,0.0,0
20,90,50,65,80,18,10,48,False,48.4,1578,23967,225,All in one Dynamic Financial Reports v19,Pycus,WINNER,873,9,17550,5.0,22
50,65,30,85,40,54,70,57,True,31.8,22,2890,42,ChatRoom BASE Whatsapp - Messenger - Instagram. Live Chat. Real All in One with ChatGPT OpenAI and Sale Funnels. Online translator.,AcruxLab,WINNER,842,10,9878,5.0,14
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,Odoo Multi-Channel Sale,Webkul Software Pvt. Ltd.,WINNER,812,5,2900,0.0,0
35,90,30,85,30,15,10,46,False,37.8,45,1110,10,Requisitions Material Stock and Purchase by Employees | User Material Request and Purchase Requisition Workflow in Odoo,Probuse Consulting Service Pvt. Ltd.,WINNER,781,4,9243,0.0,0
20,90,50,45,80,38,10,49,False,58.6,220,2505,49,Cloud Storage Solutions,faOtools,WINNER,755,14,37206,5.0,5
20,90,50,65,80,14,10,47,False,50.8,5395,47571,337,POS Stock in Odoo,BROWSEINFO,WINNER,754,7,3393,5.0,16
20,90,50,45,80,23,10,46,False,64.3,446,4508,25,Journal Sequence For Odoo 19,Odoo Developers,WINNER,747,10,1293,0.0,0
20,90,50,65,80,15,10,47,False,48.1,780,7607,58,Multiple Branch Unit Operation Setup for All Applications Odoo,BROWSEINFO,WINNER,710,4,17433,5.0,6
85,90,30,50,40,36,10,55,False,0.0,3,953,7,Atharva Theme Base,Atharva System,WINNER,682,6,702,0.0,0
20,90,50,45,40,30,10,44,False,59.7,62,1674,30,Amazon Odoo Connector,Emipro Technologies Pvt. Ltd.,WINNER,671,12,58383,5.0,102
20,90,50,45,50,24,10,44,False,63.5,63,1143,7,Professional Report Templates,Optima ICT Services LTD,WINNER,650,2,17433,5.0,15
20,90,50,25,50,20,10,41,False,70.6,160,1453,4,MuK REST API,MuK IT,WINNER,639,3,22815,5.0,6
20,90,50,45,80,15,10,45,False,62.4,6551,41572,326,Product Multi Barcode,Softhealer Technologies,WINNER,627,8,2686,0.0,0
20,90,50,45,80,15,10,45,False,62.4,6551,41572,326,Product Bundle Pack in Odoo,BROWSEINFO,WINNER,612,3,4095,5.0,6
20,90,30,85,80,25,10,49,False,30.9,97,4208,32,Gantt Native Web view,Viktor Vorobjov,WINNER,607,1,34983,5.0,6
20,90,50,25,40,15,10,39,False,83.3,72,829,7,Parent Account (Chart of Account Hierarchy),Omal Bastin / O4ODOO,WINNER,604,2,3510,5.0,7
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,Odoo E-Commerce Connector Core,VentorTech,WINNER,588,31,5850,0.0,0
20,90,50,45,80,16,10,45,False,58.8,1396,9337,83,List View Manager,Ksolves India Ltd.,WINNER,579,4,20007,5.0,17
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,Odoo Cookies Consent Management,Garazd Creation,WINNER,565,24,117,0.0,0
20,90,30,65,80,26,10,47,False,46.2,4170,77744,1030,"Odoo all import for Sales, Purchase, Invoice, Inventory, Pricelist, BOM, Payment, Journal Entry, Picking, Product, Customer.",BROWSEINFO,WINNER,528,0,9828,5.0,19
20,65,50,45,60,12,70,43,True,64.9,74,1008,7,Activities Management-Advance,Softhealer Technologies,WINNER,499,1,16811,5.0,5
20,65,50,45,80,20,70,46,True,62.8,1424,8118,80,Mail Messages Easy Pro,Cetmix,WINNER,497,4,29133,5.0,8
20,90,50,65,80,18,10,48,False,48.4,1578,23967,225,All In One Helpdesk | CRM Helpdesk | Sale Order Helpdesk | Purchase Helpdesk | Invoice Helpdesk | Helpdesk Timesheet | Helpdesk Support Ticket To Task,Softhealer Technologies,WINNER,491,0,15791,0.0,0
20,90,30,65,30,29,10,43,False,49.1,53,874,11,Clinic - Hospital Management System ( HMS by AlmightyCS ),Almighty Consulting Solutions Pvt. Ltd.,WINNER,488,4,8601,5.0,18
